edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note
1.14.13.-::1.2.1.36::ppi,0.34375,0.375,0.375,0.0,
6405::1UEN::ppi,0.34375,0.34375,0.34375,0.0,
1ZRH::10090::ppi,0.34375,0.34375,0.34375,0.0,
1.14.13.-::2.4.1.17::ppi,0.34375,0.375,0.375,0.0,
1.14.13.-::339345::ppi,0.34375,0.34375,0.34375,0.0,
2.1.1.320::1.6.99.3::ppi,0.34375,0.375,0.375,0.0,
2.1.1.320::51300::ppi,0.34375,0.34375,0.34375,0.0,
2.1.1.320::1.6.99.3::ppi,0.34375,0.34375,0.34375,0.0,
1.14.13.-::1.17.3.-::ppi,0.34375,0.34375,0.34375,0.0,
1.14.13.-::346673::ppi,0.34375,0.34375,0.34375,0.0,
1.14.13.-::1.14.-.-::ppi,0.34375,0.40625,0.40625,0.0,
1.14.13.-::1.14.14.1::ppi,0.34375,0.375,0.375,0.0,
1.14.13.-::1.14.14.-::ppi,0.34375,0.375,0.375,0.0,
2B6H::1315::ppi,0.34375,0.40625,0.40625,0.0,
1N1A::10963::ppi,0.34375,0.34375,0.34375,0.0,
2B6H::22818::ppi,0.34375,0.28125,0.28125,0.0,
1JUQ::143187::ppi,0.34375,0.375,0.375,0.0,
1JUQ::1MHQ::ppi,0.34375,0.3125,0.3125,0.0,
2B6H::26286::ppi,0.34375,0.3125,0.3125,0.0,
2B6H::377::ppi,0.34375,0.375,0.34375,-0.03125,
1080::359845::ppi,0.34375,0.34375,0.3125,-0.03125,
1080::3.4.21.4::ppi,0.34375,0.4375,0.40625,-0.03125,
1080::6338::ppi,0.34375,0.375,0.34375,-0.03125,
1080::3875::ppi,0.34375,0.34375,0.3125,-0.03125,
1080::NP_075062.2::ppi,0.34375,0.375,0.34375,-0.03125,
1080::10013::ppi,0.34375,0.375,0.34375,-0.03125,
1080::11330::ppi,0.34375,0.375,0.34375,-0.03125,
1080::22802::ppi,0.34375,0.3125,0.28125,-0.03125,
