drug_family,n_drugs,median_spearman_scratch,median_spearman_init_a,delta
unmapped_in_mm_ontology,116,-0.00611739989422325,0.10627561761130186,0.1123930175055251
CDK_inhibitor,1,0.1608755765340266,0.2417771016139185,0.0809015250798919
BCL2_inhibitor,1,0.0956695094004164,0.0679486946377849,-0.027720814762631496
HDAC_inhibitor,1,-0.3409280141015789,-0.1006101617347752,0.2403178523668037
IMiD,1,0.183811145987022,0.1574940895490192,-0.026317056438002806
XPO1_inhibitor,1,-0.0595774349453756,0.0397413463153011,0.0993187812606767
proteasome_inhibitor,1,-0.0749209059604491,-0.0644891134143789,0.010431792546070198
