feature_gene,uniprot_id,tier,source,has_esm2_embedding
TERF2,Q15554,1,HGNC_symbol,True
TERF2IP,Q9NYB0,1,HGNC_symbol,False
TERT,O14746,1,HGNC_symbol,False
TES,Q9UGI8,1,HGNC_symbol,True
TESC,Q96BS2,1,HGNC_symbol,False
TESK1,Q15569,1,HGNC_symbol,False
TESK2,Q96S53,1,HGNC_symbol,False
TESMIN,Q9Y4I5,1,HGNC_symbol,False
TESPA1,A2RU30,1,HGNC_symbol,False
TET1,Q8NFU7,1,HGNC_symbol,False
TET2,Q6N021,1,HGNC_symbol,False
TET3,O43151,1,HGNC_symbol,False
TEX10,Q9NXF1,1,HGNC_symbol,False
TEX101,Q9BY14,1,HGNC_symbol,False
TEX11,Q8IYF3,1,HGNC_symbol,False
TEX12,Q9BXU0,1,HGNC_symbol,False
TEX13A,Q9BXU3,1,HGNC_symbol,True
TEX13B,Q9BXU2,1,HGNC_symbol,True
TEX13C,A0A0J9YWL9,1,HGNC_symbol,True
TEX13D,A0A0J9YY54,1,HGNC_symbol,False
TEX14,Q8IWB6,1,HGNC_symbol,False
TEX15,Q9BXT5,1,HGNC_symbol,False
TEX19,Q8NA77,1,HGNC_symbol,True
TEX2,Q8IWB9,1,HGNC_symbol,False
TEX21P,,0,unmapped,False
TEX22,C9J3V5,1,HGNC_symbol,True
TEX26,Q8N6G2,1,HGNC_symbol,False
TEX261,Q6UWH6,1,HGNC_symbol,False
TEX264,Q9Y6I9,1,HGNC_symbol,False
TEX28,O15482,1,HGNC_symbol,False
TEX29,Q8N6K0,1,HGNC_symbol,False
TEX30,Q5JUR7,1,HGNC_symbol,False
TEX35,Q5T0J7,1,HGNC_symbol,False
TEX36,Q5VZQ5,1,HGNC_symbol,True
TEX38,Q6PEX7,1,HGNC_symbol,False
TEX44,Q53QW1,1,HGNC_symbol,True
TEX46,H3BTG2,1,HGNC_symbol,False
TEX47,Q8TBZ9,1,HGNC_symbol,True
TEX48,A0A1B0GUV7,1,HGNC_symbol,False
TEX50,A0A1B0GTY4,1,HGNC_symbol,False
TEX51,A0A1B0GUA7,1,HGNC_symbol,False
TEX52,A6NCN8,1,HGNC_symbol,False
TEX53,A0A1B0GU33,1,HGNC_symbol,False
TEX54,A0A1B0GVG6,1,HGNC_symbol,True
TEX55,Q96M34,1,HGNC_symbol,True
TEX9,Q8N6V9,1,HGNC_symbol,True
TF,P02787,1,HGNC_symbol,True
TFAM,Q00059,1,HGNC_symbol,False
TFAP2A,P05549,1,HGNC_symbol,False
TFAP2B,Q92481,1,HGNC_symbol,False
TFAP2C,Q92754,1,HGNC_symbol,False
TFAP2D,Q7Z6R9,1,HGNC_symbol,True
TFAP2E,Q6VUC0,1,HGNC_symbol,False
