feature_gene,uniprot_id,tier,source,has_esm2_embedding
A1BG,P04217,1,HGNC_symbol,False
A1BG-AS1,,0,unmapped,False
A1CF,Q9NQ94,1,HGNC_symbol,False
A2M,P01023,1,HGNC_symbol,False
A2M-AS1,,0,unmapped,False
A2ML1,A8K2U0,1,HGNC_symbol,False
A3GALT2,U3KPV4,1,HGNC_symbol,True
A4GALT,Q9NPC4,1,HGNC_symbol,False
A4GNT,Q9UNA3,1,HGNC_symbol,True
AAAS,Q9NRG9,1,HGNC_symbol,True
AACS,Q86V21,1,HGNC_symbol,True
AADAC,P22760,1,HGNC_symbol,True
AADACL2,Q6P093,1,HGNC_symbol,True
AADACL3,Q5VUY0,1,HGNC_symbol,False
AADACL4,Q5VUY2,1,HGNC_symbol,False
AADAT,Q8N5Z0,1,HGNC_symbol,False
AAED1,195827,5,STRING_alias,False
AAGAB,Q6PD74,1,HGNC_symbol,False
AAK1,Q2M2I8,1,HGNC_symbol,True
AAMDC,Q9H7C9,1,HGNC_symbol,False
AAMP,Q13685,1,HGNC_symbol,False
AANAT,Q16613,1,HGNC_symbol,True
AAR2,Q9Y312,1,HGNC_symbol,False
AARD,Q4LEZ3,1,HGNC_symbol,False
AARS,16,5,STRING_alias,False
AARS1,P49588,1,HGNC_symbol,True
AARS2,Q5JTZ9,1,HGNC_symbol,True
AARSD1,Q9BTE6,1,HGNC_symbol,True
AASDH,Q4L235,1,HGNC_symbol,False
AASDHPPT,Q9NRN7,1,HGNC_symbol,True
AASS,Q9UDR5,1,HGNC_symbol,False
AATF,Q9NY61,1,HGNC_symbol,True
AATK,Q6ZMQ8,1,HGNC_symbol,False
AB019441.29,,0,unmapped,False
ABAT,P80404,1,HGNC_symbol,False
ABC7-42389800N19.1,,0,unmapped,False
ABCA1,O95477,1,HGNC_symbol,False
ABCA10,Q8WWZ4,1,HGNC_symbol,False
ABCA11P,,0,unmapped,False
ABCA12,Q86UK0,1,HGNC_symbol,False
ABCA13,Q86UQ4,1,HGNC_symbol,False
ABCA17P,,0,unmapped,False
ABCA2,Q9BZC7,1,HGNC_symbol,False
ABCA3,Q99758,1,HGNC_symbol,False
ABCA4,P78363,1,HGNC_symbol,False
ABCA5,Q8WWZ7,1,HGNC_symbol,False
ABCA6,Q8N139,1,HGNC_symbol,False
ABCA7,Q8IZY2,1,HGNC_symbol,False
ABCA8,O94911,1,HGNC_symbol,False
ABCA9,Q8IUA7,1,HGNC_symbol,False
ABCB1,P08183,1,HGNC_symbol,False
ABCB10,Q9NRK6,1,HGNC_symbol,True
ABCB10P4,,0,unmapped,False
ABCB11,O95342,1,HGNC_symbol,False
ABCB4,P21439,1,HGNC_symbol,False
ABCB5,Q2M3G0,1,HGNC_symbol,False
ABCB6,Q9NP58,1,HGNC_symbol,False
ABCB7,O75027,1,HGNC_symbol,False
ABCB8,Q9NUT2,1,HGNC_symbol,True
ABCB9,Q9NP78,1,HGNC_symbol,False
ABCC1,P33527,1,HGNC_symbol,False
ABCC10,Q5T3U5,1,HGNC_symbol,False
ABCC11,Q96J66,1,HGNC_symbol,False
ABCC12,Q96J65,1,HGNC_symbol,False
ABCC13,,0,unmapped,False
ABCC2,Q92887,1,HGNC_symbol,False
ABCC3,O15438,1,HGNC_symbol,False
ABCC4,O15439,1,HGNC_symbol,False
ABCC5,O15440,1,HGNC_symbol,False
ABCC6,O95255,1,HGNC_symbol,False
ABCC6P1,,0,unmapped,False
ABCC8,Q09428,1,HGNC_symbol,False
ABCC9,O60706,1,HGNC_symbol,False
ABCD1,P33897,1,HGNC_symbol,False
ABCD2,Q9UBJ2,1,HGNC_symbol,True
ABCD3,P28288,1,HGNC_symbol,False
ABCD4,O14678,1,HGNC_symbol,False
ABCE1,P61221,1,HGNC_symbol,False
ABCF1,Q8NE71,1,HGNC_symbol,False
ABCF2,Q9UG63,1,HGNC_symbol,False
ABCF2P1,,0,unmapped,False
ABCF3,Q9NUQ8,1,HGNC_symbol,True
ABCG1,P45844,1,HGNC_symbol,True
ABCG2,Q9UNQ0,1,HGNC_symbol,True
ABCG4,Q9H172,1,HGNC_symbol,False
ABCG5,Q9H222,1,HGNC_symbol,False
ABCG8,Q9H221,1,HGNC_symbol,False
ABHD1,Q96SE0,1,HGNC_symbol,True
ABHD10,Q9NUJ1,1,HGNC_symbol,True
ABHD11,Q8NFV4,1,HGNC_symbol,False
ABHD12,Q8N2K0,1,HGNC_symbol,False
ABHD12B,Q7Z5M8,1,HGNC_symbol,True
ABHD13,Q7L211,1,HGNC_symbol,True
ABHD14A,Q9BUJ0,1,HGNC_symbol,False
ABHD14B,Q96IU4,1,HGNC_symbol,True
ABHD15,Q6UXT9,1,HGNC_symbol,False
ABHD16A,O95870,1,HGNC_symbol,False
ABHD16B,Q9H3Z7,1,HGNC_symbol,False
ABHD17A,Q96GS6,1,HGNC_symbol,False
ABHD17AP1,,0,unmapped,False
ABHD17AP2,,0,unmapped,False
ABHD17AP3,,0,unmapped,False
ABHD17AP4,,0,unmapped,False
ABHD17AP5,,0,unmapped,False
ABHD17AP6,,0,unmapped,False
ABHD17B,Q5VST6,1,HGNC_symbol,True
ABHD17C,Q6PCB6,1,HGNC_symbol,False
ABHD18,Q0P651,1,HGNC_symbol,False
ABHD2,P08910,1,HGNC_symbol,False
ABHD3,Q8WU67,1,HGNC_symbol,False
ABHD4,Q8TB40,1,HGNC_symbol,True
ABHD5,Q8WTS1,1,HGNC_symbol,False
ABHD6,Q9BV23,1,HGNC_symbol,True
ABHD8,Q96I13,1,HGNC_symbol,True
ABI1,Q8IZP0,1,HGNC_symbol,False
ABI2,Q9NYB9,1,HGNC_symbol,False
ABI3,Q9P2A4,1,HGNC_symbol,False
ABI3BP,Q7Z7G0,1,HGNC_symbol,False
ABITRAM,Q9NX38,1,HGNC_symbol,False
ABL1,P00519,1,HGNC_symbol,False
ABL2,P42684,1,HGNC_symbol,False
ABLIM1,O14639,1,HGNC_symbol,True
ABLIM2,Q6H8Q1,1,HGNC_symbol,True
ABLIM3,O94929,1,HGNC_symbol,True
ABO,P16442,1,HGNC_symbol,False
ABR,Q12979,1,HGNC_symbol,False
ABRA,Q8N0Z2,1,HGNC_symbol,False
ABRACL,Q9P1F3,1,HGNC_symbol,False
ABRAXAS1,Q6UWZ7,1,HGNC_symbol,False
ABRAXAS2,Q15018,1,HGNC_symbol,True
ABT1,Q9ULW3,1,HGNC_symbol,True
ABTB1,Q969K4,1,HGNC_symbol,True
ABTB2,Q8N961,1,HGNC_symbol,False
ABTB3,A6QL63,1,HGNC_symbol,False
AC000068.10,,0,unmapped,False
AC000068.5,,0,unmapped,False
AC000068.9,,0,unmapped,False
AC000089.3,,0,unmapped,False
AC000095.9,,0,unmapped,False
AC000120.7,,0,unmapped,False
AC002056.3,,0,unmapped,False
AC002059.10,,0,unmapped,False
AC002075.4,,0,unmapped,False
AC002116.7,,0,unmapped,False
AC002117.1,,0,unmapped,False
AC002310.12,,0,unmapped,False
AC002310.7,,0,unmapped,False
AC002398.5,,0,unmapped,False
AC002454.1,,0,unmapped,False
AC002456.2,,0,unmapped,False
AC002467.7,,0,unmapped,False
AC002511.3,,0,unmapped,False
AC003002.6,,0,unmapped,False
AC003075.4,,0,unmapped,False
AC003090.1,,0,unmapped,False
AC003102.3,,0,unmapped,False
AC003104.1,,0,unmapped,False
AC003665.1,,0,unmapped,False
AC003682.16,,0,unmapped,False
AC004014.4,,0,unmapped,False
AC004017.1,,0,unmapped,False
AC004057.1,,0,unmapped,False
AC004067.5,,0,unmapped,False
AC004069.2,,0,unmapped,False
AC004074.3,,0,unmapped,False
AC004158.2,,0,unmapped,False
AC004257.3,,0,unmapped,False
AC004381.6,,0,unmapped,False
AC004381.7,,0,unmapped,False
AC004383.3,,0,unmapped,False
AC004453.8,,0,unmapped,False
AC004463.6,,0,unmapped,False
AC004466.1,,0,unmapped,False
AC004510.3,,0,unmapped,False
AC004540.4,,0,unmapped,False
AC004540.5,,0,unmapped,False
AC004692.5,,0,unmapped,False
AC004791.2,,0,unmapped,False
AC004797.1,,0,unmapped,False
AC004840.9,,0,unmapped,False
AC004854.4,,0,unmapped,False
AC004878.3,,0,unmapped,False
AC004893.11,,0,unmapped,False
AC004947.2,,0,unmapped,False
AC004951.5,,0,unmapped,False
AC004951.6,,0,unmapped,False
AC004967.7,,0,unmapped,False
AC004980.10,,0,unmapped,False
AC004980.7,,0,unmapped,False
AC004985.12,,0,unmapped,False
AC004987.9,,0,unmapped,False
AC005003.1,,0,unmapped,False
AC005014.5,,0,unmapped,False
AC005034.3,,0,unmapped,False
AC005037.3,,0,unmapped,False
AC005042.2,,0,unmapped,False
AC005062.2,,0,unmapped,False
AC005071.1,,0,unmapped,False
AC005076.5,,0,unmapped,False
AC005077.14,,0,unmapped,False
AC005082.12,,0,unmapped,False
AC005083.1,,0,unmapped,False
AC005102.1,,0,unmapped,False
AC005154.6,,0,unmapped,False
AC005154.7,,0,unmapped,False
AC005224.2,,0,unmapped,False
AC005229.7,,0,unmapped,False
AC005255.3,,0,unmapped,False
AC005262.2,,0,unmapped,False
AC005262.3,,0,unmapped,False
AC005264.2,,0,unmapped,False
AC005306.3,,0,unmapped,False
AC005307.3,,0,unmapped,False
AC005329.7,,0,unmapped,False
AC005336.5,,0,unmapped,False
AC005339.2,,0,unmapped,False
AC005351.1,,0,unmapped,False
AC005481.5,,0,unmapped,False
AC005519.4,,0,unmapped,False
AC005523.2,,0,unmapped,False
AC005532.5,,0,unmapped,False
AC005534.6,,0,unmapped,False
AC005534.8,,0,unmapped,False
AC005540.3,,0,unmapped,False
AC005546.2,,0,unmapped,False
AC005562.1,,0,unmapped,False
AC005618.6,,0,unmapped,False
AC005682.5,,0,unmapped,False
AC005682.7,,0,unmapped,False
AC005702.1,,0,unmapped,False
AC005740.4,,0,unmapped,False
AC005740.6,,0,unmapped,False
AC005775.2,,0,unmapped,False
AC005776.1,,0,unmapped,False
AC005785.2,,0,unmapped,False
AC005786.7,,0,unmapped,False
AC005789.11,,0,unmapped,False
AC005795.1,,0,unmapped,False
AC005822.1,,0,unmapped,False
AC005831.1,,0,unmapped,False
AC005884.1,,0,unmapped,False
AC005932.1,,0,unmapped,False
AC005943.4,,0,unmapped,False
AC005943.5,,0,unmapped,False
AC005944.2,,0,unmapped,False
AC006001.1,,0,unmapped,False
AC006024.4,,0,unmapped,False
AC006026.10,,0,unmapped,False
AC006026.13,,0,unmapped,False
AC006026.9,,0,unmapped,False
AC006033.22,,0,unmapped,False
AC006042.8,,0,unmapped,False
AC006111.1,,0,unmapped,False
AC006116.17,,0,unmapped,False
AC006116.19,,0,unmapped,False
AC006116.20,,0,unmapped,False
AC006116.22,,0,unmapped,False
AC006116.24,,0,unmapped,False
AC006116.27,,0,unmapped,False
AC006126.4,,0,unmapped,False
AC006129.1,,0,unmapped,False
AC006129.2,,0,unmapped,False
AC006129.4,,0,unmapped,False
AC006160.5,,0,unmapped,False
AC006195.2,,0,unmapped,False
AC006272.1,,0,unmapped,False
AC006277.2,,0,unmapped,False
AC006369.2,,0,unmapped,False
AC006449.1,,0,unmapped,False
AC006486.1,,0,unmapped,False
AC006538.1,,0,unmapped,False
AC006539.1,,0,unmapped,False
AC006547.14,,0,unmapped,False
AC006547.8,,0,unmapped,False
AC006942.4,,0,unmapped,False
AC006946.15,,0,unmapped,False
AC006946.16,,0,unmapped,False
AC006953.1,,0,unmapped,False
AC006978.6,,0,unmapped,False
AC007000.10,,0,unmapped,False
AC007000.11,,0,unmapped,False
AC007000.12,,0,unmapped,False
AC007036.4,,0,unmapped,False
AC007038.7,,0,unmapped,False
AC007040.8,,0,unmapped,False
AC007041.2,,0,unmapped,False
AC007204.2,,0,unmapped,False
AC007228.11,,0,unmapped,False
AC007228.9,,0,unmapped,False
AC007229.3,,0,unmapped,False
AC007238.1,,0,unmapped,False
AC007246.3,,0,unmapped,False
AC007249.3,,0,unmapped,False
AC007255.8,,0,unmapped,False
AC007256.5,,0,unmapped,False
AC007272.3,,0,unmapped,False
AC007278.2,,0,unmapped,False
AC007278.3,,0,unmapped,False
AC007283.4,,0,unmapped,False
AC007285.6,,0,unmapped,False
AC007292.3,,0,unmapped,False
AC007292.6,,0,unmapped,False
AC007292.7,,0,unmapped,False
AC007318.5,,0,unmapped,False
AC007319.1,,0,unmapped,False
AC007362.1,,0,unmapped,False
AC007365.3,,0,unmapped,False
AC007381.2,,0,unmapped,False
AC007381.3,,0,unmapped,False
AC007382.1,,0,unmapped,False
AC007383.3,,0,unmapped,False
AC007386.3,,0,unmapped,False
AC007386.4,,0,unmapped,False
AC007392.3,,0,unmapped,False
AC007551.3,,0,unmapped,False
AC007556.3,,0,unmapped,False
AC007560.1,,0,unmapped,False
AC007566.10,,0,unmapped,False
AC007620.3,,0,unmapped,False
AC007690.1,,0,unmapped,False
AC007773.2,,0,unmapped,False
AC007879.2,,0,unmapped,False
AC007879.5,,0,unmapped,False
AC007879.7,,0,unmapped,False
AC007880.1,,0,unmapped,False
AC007969.5,,0,unmapped,False
AC008088.4,,0,unmapped,False
AC008132.12,,0,unmapped,False
AC008155.1,,0,unmapped,False
AC008265.2,,0,unmapped,False
AC008268.2,,0,unmapped,False
AC008427.2,,0,unmapped,False
AC008440.10,,0,unmapped,False
AC008440.5,,0,unmapped,False
AC008443.1,,0,unmapped,False
AC008592.3,,0,unmapped,False
AC008592.8,,0,unmapped,False
AC008697.1,,0,unmapped,False
AC008746.10,,0,unmapped,False
AC008746.12,,0,unmapped,False
AC008746.3,,0,unmapped,False
AC008753.3,,0,unmapped,False
AC008753.6,,0,unmapped,False
AC008964.1,,0,unmapped,False
AC008982.2,,0,unmapped,False
AC008984.2,,0,unmapped,False
AC008984.7,,0,unmapped,False
AC009005.2,,0,unmapped,False
AC009065.1,,0,unmapped,False
AC009093.1,,0,unmapped,False
AC009120.3,,0,unmapped,False
AC009120.6,,0,unmapped,False
AC009133.12,,0,unmapped,False
AC009133.14,,0,unmapped,False
AC009133.15,,0,unmapped,False
AC009133.17,,0,unmapped,False
AC009237.8,,0,unmapped,False
AC009245.3,,0,unmapped,False
AC009299.3,,0,unmapped,False
AC009299.5,,0,unmapped,False
AC009302.2,,0,unmapped,False
AC009303.3,,0,unmapped,False
AC009362.2,,0,unmapped,False
AC009403.2,,0,unmapped,False
AC009404.2,,0,unmapped,False
AC009473.1,,0,unmapped,False
AC009495.2,,0,unmapped,False
AC009495.3,,0,unmapped,False
AC009506.1,,0,unmapped,False
AC009945.4,,0,unmapped,False
AC009948.5,,0,unmapped,False
AC009948.7,,0,unmapped,False
AC009950.2,,0,unmapped,False
AC009951.1,,0,unmapped,False
AC009961.3,,0,unmapped,False
AC009961.5,,0,unmapped,False
AC009963.6,,0,unmapped,False
AC010084.1,,0,unmapped,False
AC010226.4,,0,unmapped,False
AC010240.2,,0,unmapped,False
AC010327.2,,0,unmapped,False
AC010336.1,,0,unmapped,False
AC010468.1,,0,unmapped,False
AC010492.2,,0,unmapped,False
AC010522.1,,0,unmapped,False
AC010524.2,,0,unmapped,False
AC010525.6,,0,unmapped,False
AC010525.7,,0,unmapped,False
AC010536.1,,0,unmapped,False
AC010642.1,,0,unmapped,False
AC010677.5,,0,unmapped,False
AC010731.6,,0,unmapped,False
AC010733.5,,0,unmapped,False
AC010745.4,,0,unmapped,False
AC010761.8,,0,unmapped,False
AC010878.3,,0,unmapped,False
AC010883.5,,0,unmapped,False
AC010894.3,,0,unmapped,False
AC010980.2,,0,unmapped,False
AC011043.1,,0,unmapped,False
AC011242.6,,0,unmapped,False
AC011330.5,,0,unmapped,False
AC011475.1,,0,unmapped,False
AC011484.1,,0,unmapped,False
AC011513.4,,0,unmapped,False
AC011515.2,,0,unmapped,False
AC011747.4,,0,unmapped,False
AC011747.7,,0,unmapped,False
AC011841.1,,0,unmapped,False
AC011841.2,,0,unmapped,False
AC011893.3,,0,unmapped,False
AC011899.9,,0,unmapped,False
AC011933.2,,0,unmapped,False
AC012065.5,,0,unmapped,False
AC012065.7,,0,unmapped,False
AC012066.1,,0,unmapped,False
AC012074.1,,0,unmapped,False
AC012074.2,,0,unmapped,False
AC012146.7,,0,unmapped,False
AC012309.5,,0,unmapped,False
AC012314.8,,0,unmapped,False
AC012354.8,,0,unmapped,False
AC012358.4,,0,unmapped,False
AC012358.7,,0,unmapped,False
AC012358.8,,0,unmapped,False
AC012360.4,,0,unmapped,False
AC012442.5,,0,unmapped,False
AC012442.6,,0,unmapped,False
AC012487.2,,0,unmapped,False
AC012493.1,,0,unmapped,False
AC012671.2,,0,unmapped,False
AC013264.2,,0,unmapped,False
AC013271.3,,0,unmapped,False
AC013283.1,,0,unmapped,False
AC013394.2,,0,unmapped,False
AC013402.5,,0,unmapped,False
AC013449.1,,0,unmapped,False
AC013460.1,,0,unmapped,False
AC013470.6,,0,unmapped,False
AC013474.4,,0,unmapped,False
AC013717.3,,0,unmapped,False
AC013733.5,,0,unmapped,False
AC015849.14,,0,unmapped,False
AC015849.16,,0,unmapped,False
AC015969.3,,0,unmapped,False
AC015971.2,,0,unmapped,False
AC015987.2,,0,unmapped,False
AC016292.3,,0,unmapped,False
AC016405.1,,0,unmapped,False
AC016586.1,,0,unmapped,False
AC016629.8,,0,unmapped,False
AC016700.3,,0,unmapped,False
AC016700.5,,0,unmapped,False
AC016700.6,,0,unmapped,False
AC016708.2,,0,unmapped,False
AC016712.2,,0,unmapped,False
AC016716.1,,0,unmapped,False
AC016732.2,,0,unmapped,False
AC016734.2,,0,unmapped,False
AC016735.1,,0,unmapped,False
AC016735.2,,0,unmapped,False
AC016739.2,,0,unmapped,False
AC016747.3,,0,unmapped,False
AC016757.3,,0,unmapped,False
AC016773.1,,0,unmapped,False
AC016831.7,,0,unmapped,False
AC016894.1,,0,unmapped,False
AC017002.1,,0,unmapped,False
AC017002.2,,0,unmapped,False
AC017028.8,,0,unmapped,False
AC017035.2,,0,unmapped,False
AC017074.2,,0,unmapped,False
AC017076.5,,0,unmapped,False
AC017104.6,,0,unmapped,False
AC018462.2,,0,unmapped,False
AC018463.4,,0,unmapped,False
AC018735.1,,0,unmapped,False
AC018738.2,,0,unmapped,False
AC018755.1,,0,unmapped,False
AC018755.16,,0,unmapped,False
AC018766.4,,0,unmapped,False
AC018766.5,,0,unmapped,False
AC018766.6,,0,unmapped,False
AC018804.1,,0,unmapped,False
AC018804.6,,0,unmapped,False
AC018804.7,,0,unmapped,False
AC018816.3,,0,unmapped,False
AC018865.5,,0,unmapped,False
AC018867.1,,0,unmapped,False
AC019097.7,,0,unmapped,False
AC019129.1,,0,unmapped,False
AC019181.2,,0,unmapped,False
AC019185.4,,0,unmapped,False
AC019221.4,,0,unmapped,False
AC020571.3,,0,unmapped,False
AC020907.2,,0,unmapped,False
AC020910.2,,0,unmapped,False
AC020983.5,,0,unmapped,False
AC021016.6,,0,unmapped,False
AC021016.7,,0,unmapped,False
AC021021.1,,0,unmapped,False
AC021188.4,,0,unmapped,False
AC021224.1,,0,unmapped,False
AC021860.1,,0,unmapped,False
AC022007.5,,0,unmapped,False
AC022154.7,,0,unmapped,False
AC022182.1,,0,unmapped,False
AC022182.2,,0,unmapped,False
AC022182.3,,0,unmapped,False
AC022201.5,,0,unmapped,False
AC022210.2,,0,unmapped,False
AC022400.1,,0,unmapped,False
AC022400.2,,0,unmapped,False
AC022431.1,,0,unmapped,False
AC022498.1,,0,unmapped,False
AC022532.1,,0,unmapped,False
AC022558.1,,0,unmapped,False
AC022819.3,,0,unmapped,False
AC023490.1,,0,unmapped,False
AC023490.2,,0,unmapped,False
AC024082.3,,0,unmapped,False
AC024560.3,,0,unmapped,False
AC024704.2,,0,unmapped,False
AC024937.6,,0,unmapped,False
AC024940.1,,0,unmapped,False
AC025171.1,,0,unmapped,False
AC025335.1,,0,unmapped,False
AC025627.9,,0,unmapped,False
AC026150.5,,0,unmapped,False
AC026150.6,,0,unmapped,False
AC026150.8,,0,unmapped,False
AC026202.3,,0,unmapped,False
AC026271.5,,0,unmapped,False
AC026310.1,,0,unmapped,False
AC026471.6,,0,unmapped,False
AC026740.1,,0,unmapped,False
AC026806.2,,0,unmapped,False
AC027307.3,,0,unmapped,False
AC027319.1,,0,unmapped,False
AC027601.1,,0,unmapped,False
AC027612.1,,0,unmapped,False
AC027612.6,,0,unmapped,False
AC027763.2,,0,unmapped,False
AC034220.3,,0,unmapped,False
AC040977.1,,0,unmapped,False
AC046143.3,,0,unmapped,False
AC051649.12,,0,unmapped,False
AC051649.6,,0,unmapped,False
AC055811.5,,0,unmapped,False
AC060834.2,,0,unmapped,False
AC061992.1,,0,unmapped,False
AC061992.2,,0,unmapped,False
AC062017.1,,0,unmapped,False
AC062029.1,,0,unmapped,False
AC064834.2,,0,unmapped,False
AC064850.4,,0,unmapped,False
AC064852.5,,0,unmapped,False
AC067945.3,,0,unmapped,False
AC068039.4,,0,unmapped,False
AC068134.10,,0,unmapped,False
AC068282.3,,0,unmapped,False
AC068491.3,,0,unmapped,False
AC068522.4,,0,unmapped,False
AC068538.2,,0,unmapped,False
AC068580.5,,0,unmapped,False
AC068580.6,,0,unmapped,False
AC068587.2,,0,unmapped,False
AC068657.2,,0,unmapped,False
AC068831.10,,0,unmapped,False
AC068831.15,,0,unmapped,False
AC069213.1,,0,unmapped,False
AC069278.4,,0,unmapped,False
AC069363.1,,0,unmapped,False
AC072062.1,,0,unmapped,False
AC073043.1,,0,unmapped,False
AC073046.25,,0,unmapped,False
AC073052.1,,0,unmapped,False
AC073063.10,,0,unmapped,False
AC073072.7,,0,unmapped,False
AC073109.2,,0,unmapped,False
AC073115.6,,0,unmapped,False
AC073283.4,,0,unmapped,False
AC073283.7,,0,unmapped,False
AC073310.4,,0,unmapped,False
AC073342.12,,0,unmapped,False
AC073343.1,,0,unmapped,False
AC073343.13,,0,unmapped,False
AC073415.2,,0,unmapped,False
AC073869.1,,0,unmapped,False
AC073869.2,,0,unmapped,False
AC073869.20,,0,unmapped,False
AC074019.2,,0,unmapped,False
AC074117.10,,0,unmapped,False
AC074138.3,,0,unmapped,False
AC074183.4,,0,unmapped,False
AC074212.5,,0,unmapped,False
AC074286.1,,0,unmapped,False
AC074289.1,,0,unmapped,False
AC074338.4,,0,unmapped,False
AC074367.1,,0,unmapped,False
AC074389.9,,0,unmapped,False
AC078883.3,,0,unmapped,False
AC078899.1,,0,unmapped,False
AC079210.1,,0,unmapped,False
AC079250.1,,0,unmapped,False
AC079305.10,,0,unmapped,False
AC079325.6,,0,unmapped,False
AC079354.2,,0,unmapped,False
AC079630.4,,0,unmapped,False
AC079767.4,,0,unmapped,False
AC079780.3,,0,unmapped,False
AC079781.8,,0,unmapped,False
AC079807.2,,0,unmapped,False
AC079807.4,,0,unmapped,False
AC079922.2,,0,unmapped,False
AC079922.3,,0,unmapped,False
AC083799.1,,0,unmapped,False
AC083843.1,,0,unmapped,False
AC083873.4,,0,unmapped,False
AC083884.8,,0,unmapped,False
AC083899.3,,0,unmapped,False
AC083900.1,,0,unmapped,False
AC084018.1,,0,unmapped,False
AC084117.3,,0,unmapped,False
AC084125.4,,0,unmapped,False
AC084219.4,,0,unmapped,False
AC087294.2,,0,unmapped,False
AC087380.14,,0,unmapped,False
AC090286.2,,0,unmapped,False
AC090571.1,,0,unmapped,False
AC090587.2,,0,unmapped,False
AC090587.4,,0,unmapped,False
AC090587.5,,0,unmapped,False
AC090602.2,,0,unmapped,False
AC090616.2,,0,unmapped,False
AC090804.1,,0,unmapped,False
AC090945.1,,0,unmapped,False
AC091133.1,,0,unmapped,False
AC091492.2,,0,unmapped,False
AC091633.2,,0,unmapped,False
AC091633.3,,0,unmapped,False
AC091729.9,,0,unmapped,False
AC091814.2,,0,unmapped,False
AC091878.1,,0,unmapped,False
AC092106.1,,0,unmapped,False
AC092155.1,,0,unmapped,False
AC092159.2,,0,unmapped,False
AC092171.2,,0,unmapped,False
AC092198.1,,0,unmapped,False
AC092295.7,,0,unmapped,False
AC092299.8,,0,unmapped,False
AC092535.3,,0,unmapped,False
AC092574.2,,0,unmapped,False
AC092580.4,,0,unmapped,False
AC092594.1,,0,unmapped,False
AC092610.12,,0,unmapped,False
AC092620.2,,0,unmapped,False
AC092620.3,,0,unmapped,False
AC092641.2,,0,unmapped,False
AC092653.5,,0,unmapped,False
AC092835.2,,0,unmapped,False
AC093106.5,,0,unmapped,False
AC093106.7,,0,unmapped,False
AC093159.1,,0,unmapped,False
AC093323.3,,0,unmapped,False
AC093375.1,,0,unmapped,False
AC093388.3,,0,unmapped,False
AC093391.2,,0,unmapped,False
AC093415.2,,0,unmapped,False
AC093484.4,,0,unmapped,False
AC093495.4,,0,unmapped,False
AC093609.1,,0,unmapped,False
AC093616.4,,0,unmapped,False
AC093620.5,,0,unmapped,False
AC093627.10,,0,unmapped,False
AC093627.9,,0,unmapped,False
AC093642.3,,0,unmapped,False
AC093642.4,,0,unmapped,False
AC093642.5,,0,unmapped,False
AC093668.2,,0,unmapped,False
AC093673.5,,0,unmapped,False
AC093677.1,,0,unmapped,False
AC093698.2,,0,unmapped,False
AC093724.2,,0,unmapped,False
AC093818.1,,0,unmapped,False
AC093838.4,,0,unmapped,False
AC096559.1,,0,unmapped,False
AC096574.4,,0,unmapped,False
AC096579.7,,0,unmapped,False
AC096582.7,,0,unmapped,False
AC096664.2,,0,unmapped,False
AC096677.1,,0,unmapped,False
AC096772.6,,0,unmapped,False
AC097495.2,,0,unmapped,False
AC097500.2,,0,unmapped,False
AC097523.1,,0,unmapped,False
AC097523.3,,0,unmapped,False
AC097533.1,,0,unmapped,False
AC097639.8,,0,unmapped,False
AC097658.1,,0,unmapped,False
AC097662.2,,0,unmapped,False
AC097713.4,,0,unmapped,False
AC097721.2,,0,unmapped,False
AC097724.3,,0,unmapped,False
AC098474.1,,0,unmapped,False
AC098614.2,,0,unmapped,False
AC098617.1,,0,unmapped,False
AC098820.3,,0,unmapped,False
AC098823.3,,0,unmapped,False
AC098824.6,,0,unmapped,False
AC098831.4,,0,unmapped,False
AC099522.2,,0,unmapped,False
AC099535.4,,0,unmapped,False
AC099850.1,,0,unmapped,False
AC100830.3,,0,unmapped,False
AC100830.4,,0,unmapped,False
AC103563.8,,0,unmapped,False
AC103801.2,,0,unmapped,False
AC104088.1,,0,unmapped,False
AC104135.2,,0,unmapped,False
AC104135.4,,0,unmapped,False
AC104297.1,,0,unmapped,False
AC104634.3,,0,unmapped,False
AC104651.1,,0,unmapped,False
AC104651.2,,0,unmapped,False
AC104653.1,,0,unmapped,False
AC104809.3,,0,unmapped,False
AC104809.4,,0,unmapped,False
AC104820.2,,0,unmapped,False
AC104841.2,,0,unmapped,False
AC104843.3,,0,unmapped,False
AC104978.1,,0,unmapped,False
AC105020.1,,0,unmapped,False
AC105053.4,,0,unmapped,False
AC105399.2,,0,unmapped,False
AC105402.4,,0,unmapped,False
AC105760.2,,0,unmapped,False
AC106900.6,,0,unmapped,False
AC107982.4,,0,unmapped,False
AC107983.4,,0,unmapped,False
AC108004.3,,0,unmapped,False
AC108059.1,,0,unmapped,False
AC108448.2,,0,unmapped,False
AC108463.2,,0,unmapped,False
AC108479.2,,0,unmapped,False
AC108488.4,,0,unmapped,False
AC108676.1,,0,unmapped,False
AC109333.10,,0,unmapped,False
AC109826.1,,0,unmapped,False
AC111155.1,,0,unmapped,False
AC111200.7,,0,unmapped,False
AC113189.5,,0,unmapped,False
AC114730.2,,0,unmapped,False
AC114730.3,,0,unmapped,False
AC114730.5,,0,unmapped,False
AC114730.8,,0,unmapped,False
AC114755.7,,0,unmapped,False
AC114776.1,,0,unmapped,False
AC115617.2,,0,unmapped,False
AC115618.1,,0,unmapped,False
AC116366.5,,0,unmapped,False
AC116366.6,,0,unmapped,False
AC116614.1,,0,unmapped,False
