edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_target_support,drug_target_source_support,drug_target_either_endpoint,target_pathway_count,target_top_pathway
1080::2.7.11.11::ppi,0.34375,0.375,0.3125,-0.0625,,1080,2.7.11.11,ppi,CFTR,PRKX,,,False,False,True,True,27,ADORA2B mediated anti-inflammatory cytokines production
1080::10598::ppi,0.34375,0.46875,0.40625,-0.0625,,1080,10598,ppi,CFTR,AHSA1,,,False,False,True,True,0,
1N1A::1HJO::ppi,0.34375,0.375,0.3125,-0.0625,,1N1A,1HJO,ppi,FKBP4,HSPA1B,,,False,False,False,False,20,Antimicrobial mechanism of IFN-stimulated genes
1N1A::A8K5I0::ppi,0.34375,0.375,0.3125,-0.0625,,1N1A,A8K5I0,ppi,FKBP4,HSPA1B,,,False,False,False,False,20,Antimicrobial mechanism of IFN-stimulated genes
1JUQ::B0QYS5::ppi,0.34375,0.34375,0.28125,-0.0625,,1JUQ,B0QYS5,ppi,M6PR,GGA1,,,False,False,False,False,6,Amyloid fiber formation
2B6H::1029::ppi,0.34375,0.375,0.3125,-0.0625,,2B6H,1029,ppi,ARF5,CDKN2A,,,False,False,False,False,58,Apoptosis
1N1A::3312::ppi,0.34375,0.375,0.3125,-0.0625,,1N1A,3312,ppi,FKBP4,HSPA8,,,False,True,False,True,55,AUF1 (hnRNP D0) binds and destabilizes mRNA
2B6H::116987::ppi,0.34375,0.375,0.3125,-0.0625,,2B6H,116987,ppi,ARF5,AGAP1,,,False,False,False,False,0,
1N1A::10728::ppi,0.34375,0.375,0.3125,-0.0625,,1N1A,10728,ppi,FKBP4,PTGES3,,,False,False,False,False,24,Arachidonate metabolism
1.14.13.-::(R)-limonene 6-monooxygenase::ppi,0.34375,0.4375,0.375,-0.0625,,1.14.13.-,(R)-limonene 6-monooxygenase,ppi,CYP26B1,CYP2C9,,,False,False,False,False,17,Arachidonate metabolism
1.14.13.-::1.14.14.1::ppi,0.34375,0.40625,0.34375,-0.0625,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1.14.13.-::1.14.14.1::ppi,0.34375,0.4375,0.375,-0.0625,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1080::1179::ppi,0.34375,0.40625,0.34375,-0.0625,,1080,1179,ppi,CFTR,CLCA1,,,False,False,True,True,3,Ion channel transport
1080::3.4.19.12::ppi,0.34375,0.40625,0.34375,-0.0625,,1080,3.4.19.12,ppi,CFTR,USP28,,,False,False,True,True,4,Deubiquitination
1080::2F15::ppi,0.34375,0.375,0.3125,-0.0625,,1080,2F15,ppi,CFTR,PRKAB2,,,False,False,True,True,39,AMPK inhibits chREBP transcriptional activation activity
1.14.13.-::10941::ppi,0.34375,0.40625,0.34375,-0.0625,,1.14.13.-,10941,ppi,CYP26B1,UGT2A1,,,False,False,False,False,6,Aspirin ADME
2.1.1.320::29078::ppi,0.34375,0.4375,0.375,-0.0625,,2.1.1.320,29078,ppi,NDUFAF7,NDUFAF4,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2.1.1.320::91942::ppi,0.34375,0.34375,0.28125,-0.0625,,2.1.1.320,91942,ppi,NDUFAF7,NDUFAF2,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1ZRH::2.8.2.-::ppi,0.34375,0.4375,0.375,-0.0625,,1ZRH,2.8.2.-,ppi,HS3ST1,GAL3ST2,,,False,False,False,False,0,
6405::5361::ppi,0.34375,0.4375,0.375,-0.0625,,6405,5361,ppi,SEMA3F,PLXNA1,,,False,False,False,False,14,Axon guidance
2.1.1.320::1.-.-.-::ppi,0.34375,0.375,0.3125,-0.0625,,2.1.1.320,1.-.-.-,ppi,NDUFAF7,TP53I3,,,False,False,False,False,6,Gene expression (Transcription)
1.14.13.-::1.2.1.36::ppi,0.34375,0.40625,0.34375,-0.0625,,1.14.13.-,1.2.1.36,ppi,CYP26B1,ALDH1A2,,,False,False,False,False,4,RA biosynthesis pathway
1.14.13.-::2.4.1.17::ppi,0.34375,0.375,0.3125,-0.0625,,1.14.13.-,2.4.1.17,ppi,CYP26B1,UGT2A3,,,False,False,False,False,6,Aspirin ADME
1ZRH::2.8.2.-::ppi,0.34375,0.40625,0.34375,-0.0625,,1ZRH,2.8.2.-,ppi,HS3ST1,GAL3ST2,,,False,False,False,False,0,
2519::2720::ppi,0.34375,0.375,0.3125,-0.0625,,2519,2720,ppi,FUCA2,GLB1,,,False,False,False,False,29,Asparagine N-linked glycosylation
2B6H::2D7C::ppi,0.34375,0.40625,0.3125,-0.09375,,2B6H,2D7C,ppi,ARF5,RAB11A,,,False,False,False,False,17,Anchoring of the basal body to the plasma membrane
2B6H::9267::ppi,0.34375,0.4375,0.34375,-0.09375,,2B6H,9267,ppi,ARF5,CYTH1,,,False,False,False,False,4,Intra-Golgi and retrograde Golgi-to-ER traffic
1N1A::1E3G::ppi,0.34375,0.40625,0.3125,-0.09375,,1N1A,1E3G,ppi,FKBP4,AR,,,False,True,False,True,23,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
6405::55558::ppi,0.34375,0.34375,0.25,-0.09375,,6405,55558,ppi,SEMA3F,PLXNA3,,,False,False,False,False,7,Axon guidance
1.14.13.-::1.14.14.1::ppi,0.34375,0.40625,0.3125,-0.09375,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
1N1A::1BY7::ppi,0.34375,0.40625,0.3125,-0.09375,,1N1A,1BY7,ppi,FKBP4,SERPINB2,,,False,False,False,False,8,Cytokine Signaling in Immune system
1ZRH::2.8.2.-::ppi,0.34375,0.40625,0.3125,-0.09375,,1ZRH,2.8.2.-,ppi,HS3ST1,GAL3ST2,,,False,False,False,False,0,
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",0.34375,0.375,0.28125,-0.09375,,1.14.13.-,"1,4-cineole 2-exo-monooxygenase",ppi,CYP26B1,CYP2A6,,,False,False,False,False,6,Biological oxidations
1.14.13.-::1.14.13.-::ppi,0.34375,0.4375,0.34375,-0.09375,,1.14.13.-,1.14.13.-,ppi,CYP26B1,CYP26B1,,,False,False,False,False,13,Biological oxidations
2.1.1.320::4711::ppi,0.34375,0.40625,0.3125,-0.09375,,2.1.1.320,4711,ppi,NDUFAF7,NDUFB5,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2.1.1.320::5XTI::ppi,0.34375,0.4375,0.34375,-0.09375,,2.1.1.320,5XTI,ppi,NDUFAF7,NDUFB4,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1080::NP_056345.3::ppi,0.34375,0.40625,0.3125,-0.09375,,1080,NP_056345.3,ppi,CFTR,GORASP2,,,False,False,True,True,5,Cell Cycle
1080::5NJ3::ppi,0.34375,0.4375,0.34375,-0.09375,,1080,5NJ3,ppi,CFTR,ABCG2,,,False,False,True,True,24,Abacavir ADME
1080::1GNA::ppi,0.34375,0.4375,0.34375,-0.09375,,1080,1GNA,ppi,CFTR,GUCA2A,,,False,False,True,True,2,Digestion
1JUQ::10618::ppi,0.34375,0.375,0.25,-0.125,,1JUQ,10618,ppi,M6PR,TGOLN2,,,False,False,False,False,12,Cargo recognition for clathrin-mediated endocytosis
1080::1OIV::ppi,0.34375,0.375,0.25,-0.125,,1080,1OIV,ppi,CFTR,RAB11A,,,False,False,True,True,17,Anchoring of the basal body to the plasma membrane
1080::15S Mg(2+)-ATPase p97 subunit::ppi,0.34375,0.46875,0.34375,-0.125,,1080,15S Mg(2+)-ATPase p97 subunit,ppi,CFTR,VCP,,,False,False,True,True,62,ABC transporter disorders
1080::2316::ppi,0.34375,0.46875,0.34375,-0.125,,1080,2316,ppi,CFTR,FLNA,,,False,True,True,True,18,Antimicrobial mechanism of IFN-stimulated genes
1080::R4GNG2::ppi,0.34375,0.46875,0.3125,-0.15625,,1080,R4GNG2,ppi,CFTR,AMFR,,,False,False,True,True,6,Asparagine N-linked glycosylation
