edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_target_support,drug_target_source_support,drug_target_either_endpoint,target_pathway_count,target_top_pathway
1080::1G9O::ppi,0.34375,0.34375,0.40625,0.0625,,1080,1G9O,ppi,CFTR,SLC9A3R1,,,False,False,True,True,0,
1080::28 kDa heat shock protein::ppi,0.34375,0.28125,0.34375,0.0625,,1080,28 kDa heat shock protein,ppi,CFTR,HSPB1,,,False,False,True,True,12,AUF1 (hnRNP D0) binds and destabilizes mRNA
1N1A::1AUE::ppi,0.34375,0.34375,0.375,0.03125,,1N1A,1AUE,ppi,FKBP4,MTOR,,,False,True,False,True,45,Adaptive Immune System
2B6H::92344::ppi,0.34375,0.375,0.40625,0.03125,,2B6H,92344,ppi,ARF5,GORAB,,,False,False,False,False,0,
2B6H::3JUE::ppi,0.34375,0.34375,0.375,0.03125,,2B6H,3JUE,ppi,ARF5,ACAP1,,,False,False,False,False,0,
1.14.13.-::1381::ppi,0.34375,0.3125,0.34375,0.03125,,1.14.13.-,1381,ppi,CYP26B1,CRABP1,,,False,False,False,False,4,RA biosynthesis pathway
1.14.13.-::1.2.1.-::ppi,0.34375,0.34375,0.375,0.03125,,1.14.13.-,1.2.1.-,ppi,CYP26B1,ALDH1A1,,,False,False,False,False,18,Biological oxidations
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",0.34375,0.34375,0.375,0.03125,,1.14.13.-,"1,4-cineole 2-exo-monooxygenase",ppi,CYP26B1,CYP2A6,,,False,False,False,False,6,Biological oxidations
2.1.1.320::1.6.99.3::ppi,0.34375,0.28125,0.3125,0.03125,,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1080::2DC2::ppi,0.34375,0.375,0.40625,0.03125,,1080,2DC2,ppi,CFTR,GOPC,,,False,False,True,True,7,RHO GTPase Effectors
1080::821::ppi,0.34375,0.3125,0.34375,0.03125,,1080,821,ppi,CFTR,CANX,,,False,False,True,True,38,Adaptive Immune System
2.1.1.320::51295::ppi,0.34375,0.3125,0.34375,0.03125,,2.1.1.320,51295,ppi,NDUFAF7,ECSIT,,,False,False,False,False,19,Aerobic respiration and respiratory electron transport
2.1.1.320::51103::ppi,0.34375,0.3125,0.34375,0.03125,,2.1.1.320,51103,ppi,NDUFAF7,NDUFAF1,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2.1.1.320::80224::ppi,0.34375,0.3125,0.34375,0.03125,,2.1.1.320,80224,ppi,NDUFAF7,NUBPL,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1JUQ::10226::ppi,0.34375,0.3125,0.34375,0.03125,,1JUQ,10226,ppi,M6PR,PLIN3,,,False,False,False,False,17,Autophagy
1N1A::1QZ2::ppi,0.34375,0.34375,0.375,0.03125,,1N1A,1QZ2,ppi,FKBP4,FKBP4,,,False,False,False,False,15,Attenuation phase
1N1A::2L0P::ppi,0.34375,0.28125,0.3125,0.03125,,1N1A,2L0P,ppi,FKBP4,S100A1,,,False,False,False,False,18,Adaptive Immune System
2B6H::2P57::ppi,0.34375,0.375,0.40625,0.03125,,2B6H,2P57,ppi,ARF5,ARFGAP2,,,False,False,False,False,16,Asparagine N-linked glycosylation
2B6H::27236::ppi,0.34375,0.3125,0.34375,0.03125,,2B6H,27236,ppi,ARF5,ARFIP1,,,False,False,False,False,0,
1N1A::3O5J::ppi,0.34375,0.3125,0.34375,0.03125,,1N1A,3O5J,ppi,FKBP4,FKBP5,,,False,False,False,False,15,Cellular responses to stimuli
2B6H::84440::ppi,0.34375,0.3125,0.34375,0.03125,,2B6H,84440,ppi,ARF5,RAB11FIP4,,,False,False,False,False,0,
1080::1UYA::ppi,0.34375,0.3125,0.34375,0.03125,,1080,1UYA,ppi,CFTR,GUCA2B,,,False,False,True,True,2,Digestion
1080::3308::ppi,0.34375,0.34375,0.375,0.03125,,1080,3308,ppi,CFTR,HSPA4,,,False,False,True,True,4,Cellular response to heat stress
1080::1QZ2::ppi,0.34375,0.3125,0.34375,0.03125,,1080,1QZ2,ppi,CFTR,FKBP4,,,False,False,True,True,15,Attenuation phase
1080::2.3.2.26::ppi,0.34375,0.28125,0.3125,0.03125,,1080,2.3.2.26,ppi,CFTR,G2E3,,,False,False,True,True,0,
1080::23433::ppi,0.34375,0.40625,0.4375,0.03125,,1080,23433,ppi,CFTR,RHOQ,,,False,False,True,True,10,Membrane Trafficking
1080::1CGI::ppi,0.34375,0.34375,0.375,0.03125,,1080,1CGI,ppi,CFTR,SPINK1,,,False,False,True,True,4,Developmental Biology
