drug_family,n_drugs,median_spearman_scratch,median_spearman_init_a,delta
unmapped_in_mm_ontology,116,0.03757409654491855,0.02626395858965165,-0.011310137955266898
CDK_inhibitor,1,0.0220707068685229,0.0371671802455099,0.015096473376987
BCL2_inhibitor,1,-0.0184578230119027,0.0739945395750589,0.0924523625869616
HDAC_inhibitor,1,0.0300084119695215,-0.2038849674258204,-0.2338933793953419
IMiD,1,0.1031774032029537,0.1107632498373227,0.007585846634369009
XPO1_inhibitor,1,0.0030212099878353,0.1013957812136871,0.0983745712258518
proteasome_inhibitor,1,-0.0225341105290355,-0.0915602507915948,-0.0690261402625593
