variant,description,n_patients,n_observed_events,loo_cindex,loo_cindex_lo,loo_cindex_hi,integrated_brier_score,nll_uncalibrated,nll_temperature_scaled,calibration_log_temp,resistance_emergence_gate_pass,survival_prediction_gate_pass
clinical_only,"+ ISS, age, gender, bort_1L, n_treatments",29,20,0.6030534351145038,0.44155844155844154,0.7965686274509803,0.22471754473269173,12.164060592651367,10.558430671691895,0.0,False,False
graph_only,+ LatentToGraphProjector(z0),29,20,0.5515267175572519,0.3944805194805195,0.7019704433497537,0.2729843725186673,8.7654390335083,8.182451248168945,-2.890038501845993e-07,False,False
baseline,"z0 only, no graph, no clinical",29,20,0.5305343511450382,0.3946360153256705,0.6729166666666667,0.22479512361616644,9.322970390319824,8.048096656799316,0.0,False,False
clinical_plus_graph,all of the above,29,20,0.5057251908396947,0.34647302904564314,0.676954732510288,0.32047981652050916,9.890524864196777,8.454109191894531,0.0,False,False
