cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
14366,immune_escape,0.27141365,0.24901742,0.23483591,0.27141365,0.24473307
14367,immune_escape,0.2713944,0.24927066,0.23465902,0.2713944,0.24467595
14368,immune_escape,0.27149692,0.24924226,0.23458931,0.27149692,0.24467157
14369,immune_escape,0.27132306,0.2493796,0.23455206,0.27132306,0.2447453
14370,immune_escape,0.27036422,0.24905774,0.23574713,0.27036422,0.24483094
14371,immune_escape,0.2702406,0.24907775,0.23582755,0.2702406,0.24485405
14372,immune_escape,0.27008995,0.24833483,0.23724563,0.27008995,0.24432963
14373,immune_escape,0.2724574,0.24952276,0.23339285,0.2724574,0.24462703
14374,immune_escape,0.27170298,0.24926089,0.23435134,0.27170298,0.24468474
14375,immune_escape,0.27008706,0.24911287,0.23592414,0.27008706,0.24487591
14376,immune_escape,0.2704252,0.24904679,0.2357066,0.2704252,0.24482149
14377,immune_escape,0.27152315,0.24899098,0.23477606,0.27152315,0.24470976
14378,immune_escape,0.26923484,0.25006437,0.23520853,0.26923484,0.24549225
14379,immune_escape,0.2714249,0.24928355,0.23461638,0.2714249,0.24467508
14380,immune_escape,0.27124494,0.24931628,0.2347539,0.27124494,0.24468489
14381,immune_escape,0.27200794,0.24915187,0.23417412,0.27200794,0.24466605
14382,immune_escape,0.27087992,0.24997139,0.23408988,0.27087992,0.24505882
14383,immune_escape,0.2711274,0.24937196,0.23480898,0.2711274,0.24469161
14384,immune_escape,0.27196646,0.24916573,0.23419699,0.27196646,0.24467082
14385,immune_escape,0.27001417,0.24853045,0.23706354,0.27001417,0.24439183
14386,immune_escape,0.26907057,0.24811791,0.23852254,0.26907057,0.24428901
