2026-04-11 00:22:32 | INFO    | resistancemap.data.loaders | Drug sensitivity matrix: 975 samples × 2 drugs
2026-04-11 00:22:32 | WARNING | resistancemap.data.preprocessors | CCLE sample metadata not found at data/raw/sample_info.csv. Using 'unknown'.
2026-04-11 00:22:32 | WARNING | resistancemap.data.preprocessors | Only 0 proteins in PPI match proteomics (out of 19177 proteins). Check protein naming conventions.
2026-04-11 00:22:32 | INFO    | resistancemap.data.preprocessors | PPI-proteomics overlap: 0 proteins
2026-04-11 00:22:32 | INFO    | resistancemap.data.preprocessors | MultiOmicsDataset: 886 samples, 19177 proteins, 42 epigenomic features, 473860 PPI edges
2026-04-11 00:22:32 | INFO    | resistancemap.data.preprocessors | Splits: train=622, val=132, test=132
2026-04-11 00:22:32 | INFO    | resistancemap | Checkpoint saved: checkpoints/data_ready.pt
2026-04-11 00:22:32 | INFO    | resistancemap | <<< STAGE END: data_prep (1.2 min)
2026-04-11 00:22:33 | INFO    | resistancemap | === Sequential stage: vae_pretrain ===
2026-04-11 00:22:33 | INFO    | resistancemap | >>> STAGE START: vae_pretrain
2026-04-11 00:22:33 | INFO    | resistancemap | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-04-11T05:22:32.455918+00:00)
2026-04-11 00:24:05 | INFO    | resistancemap | Logging to logs/pipeline.log
2026-04-11 00:24:05 | WARNING | resistancemap | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-04-11 00:24:05 | INFO    | resistancemap | === Sequential stage: data_validate ===
2026-04-11 00:24:05 | INFO    | resistancemap | >>> STAGE START: data_validate
2026-04-11 00:24:05 | INFO    | resistancemap | <<< STAGE END: data_validate (0.0 min)
2026-04-11 00:24:05 | INFO    | resistancemap | === Sequential stage: data_prep ===
2026-04-11 00:24:06 | INFO    | resistancemap | === Sequential stage: vae_pretrain ===
2026-04-11 00:24:06 | INFO    | resistancemap | >>> STAGE START: vae_pretrain
2026-04-11 00:24:06 | INFO    | resistancemap | Checkpoint loaded: checkpoints/data_ready.pt (saved 2026-04-11T05:22:32.455918+00:00)
2026-04-11 00:24:30 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 1/200 — train_loss=2.0580 val_loss=58.8583 recon=2.0580 kl=0.6542 kl_weight=0.0000
2026-04-11 00:24:31 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:32 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 2/200 — train_loss=1.7581 val_loss=29.2571 recon=1.7196 kl=0.9630 kl_weight=0.0400
2026-04-11 00:24:33 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
