model,n_features,loo_cindex,loo_cindex_lo,loo_cindex_hi,permutation_null_mean,permutation_null_std,permutation_p_value,beats_null_at_p_lt_0_05
LENS_clinical_only,,0.6030534351145038,0.44155844155844154,0.7965686274509803,,,,
LENS_graph_only,,0.5515267175572519,0.3944805194805195,0.7019704433497537,,,,
LENS_baseline,,0.5305343511450382,0.3946360153256705,0.6729166666666667,,,,
LENS_clinical_plus_graph,,0.5057251908396947,0.34647302904564314,0.676954732510288,,,,
clinical_only_cox,5.0,0.366412213740458,0.2,0.526829268292683,0.4976412213740458,0.0772479930667581,0.9560878243512974,False
